timestamp,tx,ty,tz,qx,qy,qz,qw
1305031102.175304,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0
1305031102.211214,-0.002042426,0.008402706,0.010602935,-0.001781489,-0.002944898,-0.001558743,0.999992907
1305031102.243211,-0.003021563,0.007602679,0.023103915,-0.008377538,-0.00571627,-0.001556346,0.999947369
1305031102.275326,-0.004121451,0.008802542,0.035066757,-0.013045484,-0.008272423,-0.001229789,0.999879956
1305031102.311267,-0.002216025,0.006299498,0.048006997,-0.018232113,-0.011062372,-5.2384e-05,0.999772608
1305031102.343233,-0.00406879,0.00749932,0.059099086,-0.019984573,-0.012227101,0.001634458,0.999724209
1305031102.375329,-0.004581666,0.007349358,0.071397029,-0.022409525,-0.014184378,0.001361766,0.999647319
1305031102.411258,-0.007559089,0.011566711,0.082433842,-0.023424031,-0.016272584,0.000569012,0.999593019
1305031102.443271,-0.004531143,0.018679461,0.093295969,-0.027163262,-0.021195114,0.001441604,0.999405265
1305031102.475318,-0.002173584,0.017849572,0.106094539,-0.034798,-0.024072288,0.000854482,0.999104083
1305031102.511219,-0.001385074,0.018986156,0.118658081,-0.039381023,-0.023406282,-0.000699382,0.998949885
1305031102.54322,-0.003319707,0.018749336,0.129487813,-0.043913186,-0.021254327,-0.002854439,0.998805165
1305031102.575286,-0.002479352,0.014756368,0.143342942,-0.046491373,-0.02005646,-0.004372456,0.998707831
1305031102.611233,-0.003376184,0.011929339,0.155409679,-0.044749089,-0.017281195,-0.003401058,0.998843074
1305031102.675285,-0.008084252,0.022203719,0.1787958,-0.04256954,-0.017191567,-0.001018677,0.998945057
1305031102.711263,-0.008882708,0.021886777,0.191744223,-0.043728262,-0.017263215,-0.000174377,0.998894274
1305031102.775472,-0.005934461,0.030527672,0.217640713,-0.04544463,-0.016816936,0.00016951,0.998825312
1305031102.811232,-0.006858964,0.034403328,0.230030417,-0.046142325,-0.013637383,-0.000674175,0.998841584
1305031102.84329,-0.006679347,0.033717196,0.243085057,-0.048904154,-0.010210421,-0.001567831,0.998750091
1305031102.875363,-0.01123706,0.036671679,0.254226208,-0.047645804,-0.005690587,-0.00422417,0.9988392
1305031102.911185,-0.011688985,0.04067507,0.265948951,-0.046629041,-0.004577275,-0.005520325,0.998886585
